parametry,min,śr,std,max
"μ=64 σ=0,9","1301170,98","1293619144,04","3100914779,58","9991279982,02"
"μ=64 σ=1,0","654906,12","678301601,36","1496697565,31","5764523020,38"
"μ=64 σ=1,1","598845,66","208800648,24","410829971,10","1642273986,75"
"μ=64 σ=1,2","725033,90","46942363,61","43954213,67","136810993,87"
"μ=64 σ=1,3","520664,99","22585645,00","21478192,93","74759243,39"
"μ=64 σ=1,4","454352,30","12363216,02","12025497,74","39768943,19"
"μ=64 σ=1,5","143329,40","7246973,52","7443685,26","24603343,06"
"μ=64 σ=1,6","172195,10","6876537,97","7392664,49","26183489,54"
"μ=64 σ=1,7","10545,76","2569148,14","2587579,03","7568918,01"
"μ=64 σ=1,8","13861,84","1399816,46","1899457,00","6314229,30"
"μ=64 σ=1,9","5854,21","977619,45","1721550,63","6004878,39"
"μ=64 σ=2,0","4471,10","426489,16","634884,78","2715863,05"
"μ=64 σ=2,1","5924,98","670010,77","1221187,03","4238315,46"
"μ=64 σ=2,2","8396,78","409179,84","461460,40","1580518,22"
"μ=64 σ=2,3","2839,72","419113,46","695097,36","2781628,49"
"μ=64 σ=2,4","1865,45","619675,56","1154981,97","3839187,53"
"μ=64 σ=2,5","4594,39","158372,31","193179,23","553582,33"
"μ=64 σ=2,6","5487,33","166456,37","210518,81","812738,48"
"μ=64 σ=2,7","4640,28","205592,10","260161,38","856873,64"
"μ=64 σ=2,8","6334,25","207755,50","232037,96","885971,03"
"μ=64 σ=2,9","4288,51","209917,91","213344,67","614135,37"
"μ=64 σ=3,0","5734,65","190506,95","191394,23","686779,94"
