parametry,min,śr,std,max
"μ=32 σ=1,5","319,73","390,01","157,13","1476,86"
"μ=32 σ=1,6","302,98","438,25","204,62","1116,19"
"μ=32 σ=1,7","274,97","470,63","285,47","1570,31"
"μ=32 σ=1,8","299,10","538,02","424,20","1792,18"
"μ=32 σ=1,9","367,38","662,09","528,90","1880,83"
"μ=32 σ=2,0","319,23","768,79","484,85","2468,33"
"μ=32 σ=2,1","272,72","892,78","847,88","3487,23"
"μ=32 σ=2,2","339,53","950,03","833,48","3957,42"
"μ=32 σ=2,3","284,19","584,58","471,93","2482,26"
"μ=32 σ=2,4","347,64","669,29","341,70","1447,38"
"μ=32 σ=2,5","426,22","1557,94","2231,78","9507,44"
"μ=32 σ=2,6","475,01","1552,28","1927,49","6788,72"
"μ=32 σ=2,7","467,29","1383,61","854,69","3018,99"
"μ=32 σ=2,8","508,31","1329,75","1700,87","7761,20"
"μ=32 σ=2,9","508,27","3091,15","4219,43","16554,52"
"μ=32 σ=3,0","441,93","3749,70","5353,87","22691,91"
"μ=64 σ=0,1","22788160734,73","2264538268859,88","3012301217265,22","7197775609958,70"
"μ=64 σ=0,2","860857,48","64795998543,13","194259723195,80","647575158839,34"
"μ=64 σ=0,3","163049,16","4834150819,89","14490053051,23","48304308675,43"
"μ=64 σ=0,4","2503,28","387559369,75","1162182734,08","3874107548,45"
"μ=64 σ=0,5","325,61","14010325,70","41990039,46","139980437,17"
"μ=64 σ=0,6","207,55","341,77","77,03","472,89"
"μ=64 σ=0,7","203,54","299,28","56,13","347,66"
"μ=64 σ=0,8","201,92","292,53","54,57","352,10"
"μ=64 σ=0,9","204,56","293,43","60,94","356,11"
"μ=64 σ=1,0","201,96","288,65","60,31","358,92"
"μ=64 σ=1,1","210,94","303,34","64,91","395,31"
"μ=64 σ=1,2","215,85","294,48","52,74","361,28"
"μ=64 σ=1,3","216,47","317,86","78,29","521,02"
"μ=64 σ=1,4","219,22","318,07","46,62","428,87"
"μ=64 σ=1,5","208,55","433,84","235,01","1240,43"
"μ=64 σ=1,6","232,36","602,70","541,15","1824,15"
"μ=64 σ=1,7","223,70","442,19","158,02","726,60"
"μ=64 σ=1,8","234,96","595,12","316,53","1442,91"
"μ=64 σ=1,9","344,35","1003,10","858,78","3868,38"
"μ=64 σ=2,0","337,66","1151,04","885,49","2656,78"
"μ=64 σ=2,1","332,18","1141,66","1104,67","4208,74"
"μ=64 σ=2,2","237,41","780,62","545,34","1796,20"
"μ=64 σ=2,3","255,53","1832,27","1483,93","5054,82"
"μ=64 σ=2,4","338,65","1951,48","2107,11","7719,49"
"μ=64 σ=2,5","489,43","2914,92","2648,01","8519,12"
"μ=64 σ=2,6","284,19","2538,11","2550,31","7367,63"
"μ=64 σ=2,7","354,67","1628,89","1112,65","3497,87"
"μ=64 σ=2,8","381,37","2302,70","3276,67","14011,15"
"μ=64 σ=2,9","297,40","4274,16","3490,88","10900,09"
"μ=64 σ=3,0","847,16","2928,27","2271,20","9509,37"
